model,cube_type,price_usd,rating,month,rank_position
MoYu Mirror Cube,Mirror,6.18,4.09,November,4
QiYi Tornado V3,3x3,12.82,4.84,September,6
GAN 11 M Pro,3x3,22.47,4.67,October,7
ShengShou Gigaminx,Gigaminx,99.5,4.35,November,10
Valk 3 Elite M,3x3,34.63,4.89,October,10
YJ MGC Elite 2,2x2,12.92,4.36,October,11
MoYu Meilong 2x2,2x2,9.04,4.33,October,12
YJ MGC Skewb,Skewb,18.92,4.45,October,13
ShengShou 5x5 Legend,5x5,45.01,4.04,September,14
MoYu Aosu WRM,4x4,23.18,4.47,October,15
QiYi Valk 4 M,4x4,21.67,4.59,November,17
YJ MGC 4x4,4x4,44.99,3.99,October,17
QiYi X-Man Shadow 6x6,6x6,36.39,4.18,November,18
YJ MGC 7x7,7x7,77.94,4.38,October,18
MoYu Weilong WRM V9,3x3,25.61,4.44,October,20
MoYu RS3M 2021,3x3,33.63,4.39,October,20
GAN 356 M,3x3,15.65,4.75,November,21
MoYu Aochuang GTS,5x5,35.81,4.6,October,22
GAN Megaminx M,Megaminx,26.19,4.58,September,22
QiYi X-Man Bell Pyraminx,Pyraminx,11.09,4.85,September,22
Dayan TengYun V2,3x3,34.91,4.68,September,23
MoYu Aoshi WRM,6x6,73.82,4.43,November,23
MoYu Magnetic Pyraminx,Pyraminx,19.93,4.79,November,23
GAN 249 V2,2x2,11.68,4.96,October,23
MFJS MeiLong Mirror,Mirror,11.72,4.05,September,24
